ObjectID;Numéro du bureau de vote;Libellé du bureau de vote;Adresse;Code Postal;Identifiant du bureau de vote;geo_shape;geo_point_2d
566;19;LYCEE MOLIERE;38 RUE DE L ASSOMPTION;75016;16-19;"{""type"": ""Point"", ""coordinates"": [2.270962496061124, 48.854202997732074]}";48.8542029977, 2.27096249606
576;29;ORPHELINS APPRENTIS D AUTEUIL;40 RUE JEAN DE LA FONTAINE;75016;16-29;"{""type"": ""Point"", ""coordinates"": [2.27203971894316, 48.85109582895641]}";48.851095829, 2.27203971894
580;33;LYCEE JEAN BAPTISTE SAY;8 RUE CHARDON LAGACHE;75016;16-33;"{""type"": ""Point"", ""coordinates"": [2.267641394419075, 48.8462153432884]}";48.8462153433, 2.26764139442
584;37;ECOLE ELEMENTAIRE;17 RUE BOILEAU;75016;16-37;"{""type"": ""Point"", ""coordinates"": [2.265264232846277, 48.846344351882195]}";48.8463443519, 2.26526423285
591;44;ECOLE ELEMENTAIRE;1 RUE DU SERGENT MAGINOT;75016;16-44;"{""type"": ""Point"", ""coordinates"": [2.255232971085739, 48.84051246083839]}";48.8405124608, 2.25523297109
598;51;PETIT LYCEE JANSON DE SAILLY;24 RUE DECAMPS;75016;16-51;"{""type"": ""Point"", ""coordinates"": [2.279983907232503, 48.864270613845726]}";48.8642706138, 2.27998390723
607;60;ECOLE MATERNELLE;130 RUE DE LONGCHAMP;75016;16-60;"{""type"": ""Point"", ""coordinates"": [2.278236113746369, 48.86727236338462]}";48.8672723634, 2.27823611375
611;64;INSTITUT DE L'ASSOMPTION;8 RUE DE L AMIRAL D ESTAING;75016;16-64;"{""type"": ""Point"", ""coordinates"": [2.293346727960391, 48.867236309458114]}";48.8672363095, 2.29334672796
614;67;ECOLE ELEMENTAIRE;18 RUE PAUL VALERY;75016;16-67;"{""type"": ""Point"", ""coordinates"": [2.289982456463228, 48.870339661454764]}";48.8703396615, 2.28998245646
638;23;ECOLE MATERNELLE;12 PASSAGE SAINT ANGE;75017;17-23;"{""type"": ""Point"", ""coordinates"": [2.327493434942879, 48.89655868694745]}";48.8965586869, 2.32749343494
643;28;ECOLE MATERNELLE;4 RUE FOURNEYRON;75017;17-28;"{""type"": ""Point"", ""coordinates"": [2.319827375076058, 48.88967602040964]}";48.8896760204, 2.31982737508
644;29;ECOLE MATERNELLE;61 CITE DES FLEURS;75017;17-29;"{""type"": ""Point"", ""coordinates"": [2.321011356673314, 48.89354792458426]}";48.8935479246, 2.32101135667
657;42;ECOLE MATERNELLE;31 RUE DES RENAUDES;75017;17-42;"{""type"": ""Point"", ""coordinates"": [2.297720768289105, 48.8806986070865]}";48.8806986071, 2.29772076829
660;45;LYCEE CARNOT;145 BOULEVARD MALESHERBES;75017;17-45;"{""type"": ""Point"", ""coordinates"": [2.307843957216669, 48.88447741558528]}";48.8844774156, 2.30784395722
663;48;LYCEE CARNOT;56 AVENUE DE VILLIERS;75017;17-48;"{""type"": ""Point"", ""coordinates"": [2.306442338788563, 48.883612248954954]}";48.883612249, 2.30644233879
664;49;ECOLE ELEMENTAIRE;18 RUE AMPERE;75017;17-49;"{""type"": ""Point"", ""coordinates"": [2.304946091423032, 48.88531855525536]}";48.8853185553, 2.30494609142
673;58;ECOLE MATERNELLE;22 AVENUE DE LA PORTE DE VILLIERS;75017;17-58;"{""type"": ""Point"", ""coordinates"": [2.285506309482037, 48.88495140399518]}";48.884951404, 2.28550630948
676;61;ECOLE ELEMENTAIRE;221 BOULEVARD PEREIRE;75017;17-61;"{""type"": ""Point"", ""coordinates"": [2.289375505285555, 48.880454260128]}";48.8804542601, 2.28937550529
680;65;ECOLE ELEMENTAIRE;16 RUE DU COLONEL MOLL;75017;17-65;"{""type"": ""Point"", ""coordinates"": [2.290101066811334, 48.87801285769486]}";48.8780128577, 2.29010106681
688;6;ECOLE ELEMENTAIRE;20 RUE HERMEL;75018;18-6;"{""type"": ""Point"", ""coordinates"": [2.344513080947643, 48.891300956600205]}";48.8913009566, 2.34451308095
690;8;LYCEE SUZANNE VALADON;7 RUE FERDINAND FLOCON;75018;18-8;"{""type"": ""Point"", ""coordinates"": [2.346029170330564, 48.89188921963939]}";48.8918892196, 2.34602917033
693;11;ECOLE ELEMENTAIRE;69 RUE CHAMPIONNET;75018;18-11;"{""type"": ""Point"", ""coordinates"": [2.34514828843197, 48.895750282963235]}";48.895750283, 2.34514828843
699;17;COLLEGE GEORGES CLEMENCEAU;41 ter RUE DES POISSONNIERS;75018;18-17;"{""type"": ""Point"", ""coordinates"": [2.351533965099245, 48.88896418565586]}";48.8889641857, 2.3515339651
700;18;ECOLE ELEMENTAIRE;61 RUE DE CLIGNANCOURT;75018;18-18;"{""type"": ""Point"", ""coordinates"": [2.347797853808533, 48.88793298897976]}";48.887932989, 2.34779785381
719;37;ECOLE ELEMENTAIRE;65 RUE DAMREMONT;75018;18-37;"{""type"": ""Point"", ""coordinates"": [2.335058909374577, 48.89195637446816]}";48.8919563745, 2.33505890937
723;41;COLLEGE HECTOR BERLIOZ;17 RUE GEORGETTE AGUTTE;75018;18-41;"{""type"": ""Point"", ""coordinates"": [2.332815673591279, 48.895814671466276]}";48.8958146715, 2.33281567359
731;49;ECOLE MATERNELLE;2 PLACE FRANCOISE DORLEAC;75018;18-49;"{""type"": ""Point"", ""coordinates"": [2.337228724019983, 48.89998159175907]}";48.8999815918, 2.33722872402
